"Postcode","annual_consume","year","type"
"1011",340056,2009,"gas"
"1012",776274,2009,"gas"
"1013",450308,2009,"gas"
"1014",47258,2009,"gas"
"1015",546624,2009,"gas"
"1016",567887,2009,"gas"
"1017",924005,2009,"gas"
"1018",508725,2009,"gas"
"1019",189473,2009,"gas"
"1021",228864,2009,"gas"
"1022",78576,2009,"gas"
"1023",238172,2009,"gas"
"1024",333683,2009,"gas"
"1025",311853,2009,"gas"
"1026",38374,2009,"gas"
"1027",22940,2009,"gas"
"1028",34514,2009,"gas"
"1031",221476,2009,"gas"
"1032",285757,2009,"gas"
"1033",446138,2009,"gas"
"1034",401187,2009,"gas"
"1035",334445,2009,"gas"
"1036",12472,2009,"gas"
"1037",5962,2009,"gas"
"1041",14075,2009,"gas"
"1042",53201,2009,"gas"
"1043",30821,2009,"gas"
"1045",2788,2009,"gas"
"1046",86642,2009,"gas"
"1047",1878,2009,"gas"
"1051",272039,2009,"gas"
"1052",335271,2009,"gas"
"1053",396343,2009,"gas"
"1054",557137,2009,"gas"
"1055",435615,2009,"gas"
"1056",401392,2009,"gas"
"1057",380176,2009,"gas"
"1058",360515,2009,"gas"
"1059",192030,2009,"gas"
"1060",132701,2009,"gas"
"1061",243400,2009,"gas"
"1062",163422,2009,"gas"
"1063",395826,2009,"gas"
"1064",395186,2009,"gas"
"1065",319792,2009,"gas"
"1066",419379,2009,"gas"
"1067",454984,2009,"gas"
"1068",324035,2009,"gas"
"1069",332254,2009,"gas"
"1071",910784,2009,"gas"
"1072",374748,2009,"gas"
"1073",350836,2009,"gas"
"1074",266753,2009,"gas"
"1075",533580,2009,"gas"
"1076",265459,2009,"gas"
"1077",531058,2009,"gas"
"1078",466469,2009,"gas"
"1079",464289,2009,"gas"
"1081",138528,2009,"gas"
"1082",234416,2009,"gas"
"1083",174002,2009,"gas"
"1086",2988,2009,"gas"
"1091",403279,2009,"gas"
"1092",260797,2009,"gas"
"1093",203869,2009,"gas"
"1094",286580,2009,"gas"
"1095",230336,2009,"gas"
"1096",74033,2009,"gas"
"1097",500079,2009,"gas"
"1098",483478,2009,"gas"
"1101",54487,2009,"gas"
"1102",213090,2009,"gas"
"1103",131807,2009,"gas"
"1104",158143,2009,"gas"
"1105",44410,2009,"gas"
"1106",346295,2009,"gas"
"1107",316774,2009,"gas"
"1108",57476,2009,"gas"
"1109",57488,2009,"gas"
"1111",371782,2009,"gas"
"1112",253380,2009,"gas"
"1113",121628,2009,"gas"
"1115",4404,2009,"gas"
"1121",471430,2009,"gas"
"1127",70326,2009,"gas"
"1131",589053,2009,"gas"
"1132",465471,2009,"gas"
"1135",398788,2009,"gas"
"1141",476262,2009,"gas"
