"year","company","type","file"
"2009","Enexis","gas",NA
"2009","Enexis","electricity",NA
"2009","Endinet","gas",NA
"2009","Endinet","electricity",NA
"2009","Liander","gas","Gas/liander_gas_01012009.csv"
"2009","Liander","electricity","Electricity/liander_electricity_01012009.csv"
"2009","Stedin","gas","Gas/stedin_gas_2009.csv"
"2009","Stedin","electricity","Electricity/stedin_electricity_2009.csv"
"2009","Enduris","gas",NA
"2009","Enduris","electricity",NA
"2009","Westland-infra","gas",NA
"2009","Westland-infra","electricity",NA
"2009","Rendo","gas",NA
"2009","Rendo","electricity",NA
"2009","Coteq","gas",NA
"2009","Coteq","electricity",NA
"2010","Enexis","gas","Gas/enexis_gas_01012010.csv"
"2010","Enexis","electricity","Electricity/enexis_electricity_01012010.csv"
"2010","Endinet","gas",NA
"2010","Endinet","electricity",NA
"2010","Liander","gas","Gas/liander_gas_01012010.csv"
"2010","Liander","electricity","Electricity/liander_electricity_01012010.csv"
"2010","Stedin","gas","Gas/stedin_gas_2010.csv"
"2010","Stedin","electricity","Electricity/stedin_electricity_2010.csv"
"2010","Enduris","gas",NA
"2010","Enduris","electricity",NA
"2010","Westland-infra","gas",NA
"2010","Westland-infra","electricity",NA
"2010","Rendo","gas",NA
"2010","Rendo","electricity",NA
"2010","Coteq","gas",NA
"2010","Coteq","electricity",NA
"2011","Enexis","gas","Gas/enexis_gas_01012011.csv"
"2011","Enexis","electricity","Electricity/enexis_electricity_01012011.csv"
"2011","Endinet","gas","Gas/endinet_gas_01012011.csv"
"2011","Endinet","electricity","Electricity/endinet_electricity_01012011.csv"
"2011","Liander","gas","Gas/liander_gas_01012011.csv"
"2011","Liander","electricity","Electricity/liander_electricity_01012011.csv"
"2011","Stedin","gas","Gas/stedin_gas_2011.csv"
"2011","Stedin","electricity","Electricity/stedin_electricity_2011.csv"
"2011","Enduris","gas",NA
"2011","Enduris","electricity",NA
"2011","Westland-infra","gas","Gas/westland-infra_gas_2011.csv"
