"Postcode","Netnummer","Wijken","Plaats","Gemeente","Provincie","Breedtegraad (N):","Lengtegraad (E):","Wijk"
"7468","0547","Wijk 21 BornerbroekWijk 03 Enter (kern)Wijk 04 Landelijk gebied Enter","Enter","Wierden","Overijssel",52.298963573636,6.5879003520148,NA
"7471","0547","Wijk 00 GoorWijk 01 De Whee II","Goor","Hof van Twente","Overijssel",52.235719697641,6.5885470388484,NA
"7472","0547","Wijk 00 GoorWijk 01 De Whee II","Goor","Hof van Twente","Overijssel",52.247809501215,6.599783800902,NA
"7571","0541","Wijk 01 BinnenstadWijk 02 Het Inslag-De KleiesWijk 03 Glinde-Hooiland","Oldenzaal","Oldenzaal","Overijssel",52.312589896079,6.9284694890353,NA
"7572","0541","Wijk 02 Het Inslag-De KleiesWijk 03 Glinde-HooilandWijk 09 JufferbeekWijk 10 Het Hulsbeek","Oldenzaal","Oldenzaal","Overijssel",52.307450049734,6.9145712508408,NA
"7573","0541","Wijk 01 BinnenstadWijk 02 Het Inslag-De KleiesWijk 04 De MeijbreeWijk 05 Haerbroek-Scholtenhoek","Oldenzaal","Oldenzaal","Overijssel",52.313552531759,6.9392303854382,NA
"7574","0541","Wijk 05 Haerbroek-ScholtenhoekWijk 06 Zuid-BerghuizenWijk 07 Hanzepoort","Oldenzaal","Oldenzaal","Overijssel",52.2962666493,6.9378581092965,NA
"7575","0541","Wijk 06 Zuid-BerghuizenWijk 07 HanzepoortWijk 08 Eekte-Hazewinkel","Oldenzaal","Oldenzaal","Overijssel",52.29579517113,6.9189168135267,NA
"7576","0541","Wijk 10 Het HulsbeekWijk 11 De Thij","Oldenzaal","Oldenzaal","Overijssel",52.312113151855,6.8961370667679,NA
"7577","0541","Wijk 11 De ThijWijk 12 De Graven EsWijk 13 De EssenWijk 14 Bekspring","Oldenzaal","Oldenzaal","Overijssel",52.324828452307,6.9155155735771,NA
"7601","0546","Wijk 11 De RietWijk 17 HofkampWijk 19 Windmolenbroek","Almelo","Almelo","Overijssel",52.339601589803,6.6842535429245,NA
"7602","0546","Wijk 12 NoorderkwartierWijk 17 HofkampWijk 20 Aadorp","Almelo","Almelo","Overijssel",52.372592503421,6.6389557560827,NA
"7603","0546","Wijk 13 SluitersveldWijk 17 HofkampWijk 18 Schelfhorst","Almelo","Almelo","Overijssel",52.370954193551,6.6944646175983,NA
"7604","0546",NA,"Almelo","Almelo","Overijssel",52.353036743966,6.6279322336086,"Wijk 14 Wierdense Hoek"
"7605","0546",NA,"Almelo","Almelo","Overijssel",52.350026479301,6.654066028952,"Wijk 15 Nieuwstraat-Kwartier"
"7606","0546","Wijk 15 Nieuwstraat-KwartierWijk 16 OssenkoppelerhoekWijk 19 Windmolenbroek","Almelo","Almelo","Overijssel",52.34339020945,6.6506604718583,NA
"7607","0546","Wijk 10 BinnenstadWijk 11 De RietWijk 16 OssenkoppelerhoekWijk 17 Hofkamp","Almelo","Almelo","Overijssel",52.354325432031,6.6932582077758,NA
